Issue Type,Epic,Summary,Description,Acceptance Criteria,Priority,Target Release
Story,Governance and Discovery,Approve system-of-record boundaries,Define authoritative ownership for operational status communications and document retention,Decision record identifies ArcGIS Everbridge and Q-Drive boundaries; stakeholders approve the document,High,Release 1
Story,Governance and Discovery,Confirm Everbridge tenant capabilities,Verify API access callback support roles and draft-creation capability,Capabilities matrix completed; required credentials and contacts identified,High,Release 1
Story,Governance and Discovery,Define national event ID standard,Create format and assignment rule for event IDs shared across districts,Event ID format approved; issuing authority defined,High,Release 1
Story,SITREP Data Model,Define incident identity fields,Add event identity fields to the field dictionary,event_id event_name event_type and district_incident_id approved,High,Release 1
Story,SITREP Data Model,Define report lifecycle fields,Add report sequencing and operational period fields,report_type sitrep_number operational_period_start operational_period_end next_report_due and reporting_interval_hours specified,High,Release 1
Story,SITREP Data Model,Define member accountability and impact fields,Approve member accountability and impact counts,Member-impact fields approved; PII exclusion rules documented,High,Release 1
Story,SITREP Data Model,Define resource availability and request fields,Separate availability from requests and define request tracking,Availability and request sections separated; open request tracking approved,High,Release 1
Story,SITREP Data Model,Define facility communications and narrative fields,Replace generic comments with structured narratives and add facility status fields,Structured narrative fields approved; facility and communications fields approved,Medium,Release 1
Story,Survey123 Form Implementation,Rebuild form structure,Implement approved section order and field grouping,Form contains all approved sections; required questions clearly marked,High,Release 1
Story,Survey123 Form Implementation,Implement conditional logic,Show subgroups only when operationally relevant,Everbridge resource request and closure sections appear only when relevant,High,Release 1
Story,Survey123 Form Implementation,Implement validation and calculations,Add constraints and calculated totals,Negative values blocked; support totals calculate correctly; final report required before closure,High,Release 1
Story,Survey123 Form Implementation,Publish and test revised form,Publish test Survey123 form and verify submissions,Test submissions succeed from browser and mobile; records match schema,High,Release 1
Story,ArcGIS Schema and Dashboard,Update SITREP hosted feature layer schema,Align hosted layer with revised data model,New fields added or replacement service published; editor and change tracking enabled,High,Release 1
Story,ArcGIS Schema and Dashboard,Create Everbridge notification related table,Create related table for Everbridge aggregate sync,Everbridge_Notification_Log exists and supports event correlation,High,Release 1
Story,ArcGIS Schema and Dashboard,Add integration-control fields,Add loop-prevention and approval-state fields,Integration control fields exist in ArcGIS,High,Release 1
Story,ArcGIS Schema and Dashboard,Rebuild dashboard for event-centric reporting,Group dashboard by event and add incident-level panels,Dashboard groups by event_id; overdue accountability and resource-request panels available,High,Release 1
Story,ArcGIS Schema and Dashboard,Validate multi-district event aggregation,Verify two districts roll up into one incident view,Two districts reporting same event aggregate correctly,Medium,Release 1
Story,Everbridge Ingestion,Build secure Everbridge polling client,Implement polling client using tenant credentials,Poller retrieves notification summary data successfully,High,Release 2
Story,Everbridge Ingestion,Implement Everbridge callback receiver if available,Receive Everbridge callbacks and trigger detail refresh,Callback endpoint validates source and triggers detail refresh,Medium,Release 2
Story,Everbridge Ingestion,Map Everbridge aggregates to ArcGIS related table,Write aggregate notification values to ArcGIS,Notification summaries written to ArcGIS without PII,High,Release 2
Story,Everbridge Ingestion,Implement event correlation and exception handling,Match notifications to Event_ID and handle unmatched records,Unmatched notifications flagged for review; matched notifications linked correctly,High,Release 2
Story,Everbridge Ingestion,Add Everbridge accountability dashboard panel,Display accountability results in the dashboard,Dashboard displays targeted safe assistance no response and last sync indicators,Medium,Release 2
Story,ArcGIS to Everbridge Draft Automation,Define approved outbound trigger conditions,Document which SITREP changes may prepare notifications,Trigger matrix approved by operational and communications owners,High,Release 3
Story,ArcGIS to Everbridge Draft Automation,Build Survey123 and feature-layer webhook receiver,Accept signed webhook events and log decisions,Receiver accepts signed events and logs processing decisions,High,Release 3
Story,ArcGIS to Everbridge Draft Automation,Implement draft message template mapping,Map SITREP fields into approved Everbridge templates,Template variables map to SITREP fields; output preview reviewable,High,Release 3
Story,ArcGIS to Everbridge Draft Automation,Create Everbridge draft workflow,Create drafts or operator tasks for qualifying events,Qualifying events create drafts or operator tasks; no automatic launch in pilot,High,Release 3
Story,ArcGIS to Everbridge Draft Automation,Record approval status back in ArcGIS,Write draft lifecycle state to source records,ArcGIS records show created reviewed approved or rejected status,Medium,Release 3
Story,Hazard Feed Automation,Select pilot hazard feeds,Approve authoritative feeds for pilot automation,One or more pilot feeds approved,Medium,Release 4
Story,Hazard Feed Automation,Implement geospatial relevance rules,Filter feed events by district intersection,Feed events filtered by district or area of concern,Medium,Release 4
Story,Hazard Feed Automation,Implement severity and expiration rules,Advance only qualifying hazards to messaging logic,Only active qualifying hazards progress,Medium,Release 4
Story,Hazard Feed Automation,Implement feed deduplication,Suppress duplicate or immaterial feed-driven drafts,Repeat or immaterial feed updates do not create duplicate drafts,Medium,Release 4
Story,AWS Platform and Security,Provision AWS environment,Deploy API Gateway Lambda DynamoDB SQS CloudWatch and Secrets Manager in test,Core AWS resources deployed in test,High,Release 2
Story,AWS Platform and Security,Implement secrets and IAM controls,Secure credentials and service permissions,Credentials stored in Secrets Manager; least-privilege IAM applied,High,Release 2
Story,AWS Platform and Security,Add monitoring and alarms,Create operational visibility for failures and latency,Failures queue growth and authentication issues trigger alerts,Medium,Release 2
Story,AWS Platform and Security,Add audit logging,Log every message-related action for traceability,Every action traceable by source time and outcome,Medium,Release 2
Story,Testing and Rollout,Run tabletop validation,Walk stakeholders through end-to-end incident handling,Stakeholders validate incident creation updates accountability and closure,Medium,Release 4
Story,Testing and Rollout,Run functional exercise,Execute multi-district end-to-end exercise,Functional exercise completes with end-to-end data flow,High,Release 4
Story,Testing and Rollout,Resolve critical defects,Fix high-severity defects found in exercise,No unresolved severity-1 defects remain,High,Release 4
Story,Testing and Rollout,Prepare production rollout and training,Publish rollout support and user materials,User guide operator guide and support contacts published,Medium,Release 4
Story,Leadership Situational Awareness and SitRep Ingestion,Define leadership-facing who/what/where/how-many model,Define a single operational view for leadership consumption,Data contract includes district event timestamps and roll-up counts; count definitions approved; inferred vs confirmed provenance markers approved,High,Release 2
Story,Leadership Situational Awareness and SitRep Ingestion,Extend SitRep ingestion schema for accountability and contact state,Persist leadership metrics and Everbridge linkage in ingestion outputs,Schema stores everbridge_notification_id with event and district; schema stores unaccounted needs-help and contacted counts; default behavior for missing counts defined,High,Release 2
Story,Leadership Situational Awareness and SitRep Ingestion,Build event-district roll-up and drill-down views,Create top-level and district-level leadership visibility views,Top-level dashboard shows who what where how-many; district drill-down shows source and latest update; filters support event district and reporting interval,High,Release 3
Story,Leadership Situational Awareness and SitRep Ingestion,Correlate ArcGIS hazard events with Everbridge potential impact,Estimate pre-SitRep member impact from hazard footprint and Everbridge scope,Geospatial correlation links hazard footprint to Everbridge audience; potential counts labeled preliminary; provenance distinguishes hazard-inferred vs sitrep-confirmed,High,Release 3
