Workstream,Story ID,Summary,Owner,Supporting Owner,Estimate Weeks,Priority,Release,Dependencies,Status
Governance,1.1,Approve system-of-record boundaries,Product owner,Data governance lead,1,High,Release 1,None,Ready
Governance,1.2,Confirm Everbridge tenant capabilities,Everbridge lead,Integration lead,1,High,Release 1,None,Ready
Governance,1.3,Define national event ID standard,Product owner,ArcGIS lead,1,High,Release 1,1.1,Ready
Data Model,2.1,Define incident identity fields,ArcGIS lead,Product owner,0.5,High,Release 1,1.3,Ready
Data Model,2.2,Define report lifecycle fields,ArcGIS lead,Product owner,0.5,High,Release 1,1.3,Ready
Data Model,2.3,Define member accountability and impact fields,ArcGIS lead,Data governance lead,0.5,High,Release 1,1.1,Ready
Data Model,2.4,Define resource availability and request fields,ArcGIS lead,Product owner,0.5,High,Release 1,2.1|2.2,Ready
Data Model,2.5,Define facility communications and narrative fields,ArcGIS lead,Product owner,0.5,Medium,Release 1,2.1|2.2,Ready
Survey123,3.1,Rebuild form structure,ArcGIS lead,Product owner,1,High,Release 1,2.1|2.2|2.3|2.4|2.5,Ready
Survey123,3.2,Implement conditional logic,ArcGIS lead,Product owner,0.5,High,Release 1,3.1,Ready
Survey123,3.3,Implement validation and calculations,ArcGIS lead,Product owner,0.5,High,Release 1,3.1,Ready
Survey123,3.4,Publish and test revised form,ArcGIS lead,Test coordinator,1,High,Release 1,3.2|3.3,Blocked by environment
ArcGIS,4.1,Update SITREP hosted feature layer schema,ArcGIS lead,Integration lead,1,High,Release 1,3.1,Ready
ArcGIS,4.2,Create Everbridge notification related table,ArcGIS lead,Integration lead,0.5,High,Release 1,4.1,Ready
ArcGIS,4.3,Add integration-control fields,ArcGIS lead,Integration lead,0.5,High,Release 1,4.1,Ready
ArcGIS,4.4,Rebuild dashboard for event-centric reporting,ArcGIS lead,Product owner,1,High,Release 1,4.1|4.2|4.3,Ready
ArcGIS,4.5,Validate multi-district event aggregation,Test coordinator,ArcGIS lead,0.5,Medium,Release 1,4.4,Ready
AWS,8.1,Provision AWS environment,Integration lead,Cloud platform owner,1,High,Release 2,1.2,Ready
