type,name,label,required,relevant,constraint,constraint_message,calculation,appearance,hint
start,start,Submission start,,,,,,,
begin_group,event_identification,Event identification,,,,,field-list,,
select_one district,district,District,yes,,,,,minimal,
text,reporting_unit,Reporting office,yes,,,,,,Example: DSO-EM
select_one event_type,event_type,Event type,yes,,,,,minimal,
text,event_name,Event name,yes,,,,,,Example: Hurricane Alpha
text,event_id,National event ID,yes,,,,,,Example: 2026-HUR-04
text,district_incident_id,District incident ID,no,,,,,,Optional district-local identifier
end_group,event_identification_end,,,,,,,,
begin_group,reporting_information,Reporting information,,,,,field-list,,
select_one report_type,report_type,Report type,yes,,,,,minimal,
integer,sitrep_number,SITREP number,yes,,. > 0,SITREP number must be greater than zero.,,,
dateTime,report_effective_time,Report effective date and time,yes,,,,,,Operational snapshot time
calculate,submission_time,Submission timestamp,yes,,,,now(),,
dateTime,operational_period_start,Operational period start,yes,,,,,,Use UTC or clearly labeled local time
dateTime,operational_period_end,Operational period end,yes,,. >= ${operational_period_start},Operational period end must be after or equal to the start.,,
integer,reporting_interval_hours,Reporting interval hours,yes,,. > 0,Reporting interval must be greater than zero.,,,
dateTime,next_report_due,Next report due,yes,,. > ${report_effective_time},Next report due must be after the report effective time.,,,
text,reporter_name,Reporter name,yes,,,,,,May autofill from authenticated profile
text,reporter_contact,Reporter contact,no,,,,,,Email or phone if policy allows
end_group,reporting_information_end,,,,,,,,
begin_group,event_phase_posture,Event phase and district posture,,,,,field-list,,
select_one event_status,event_status,Event status,yes,,,,,minimal,
select_one district_posture,district_posture,District posture,yes,,,,,minimal,
dateTime,activation_time,District activation time,no,${district_posture} = 'partial_activation' or ${district_posture} = 'full_activation',,,,,
text,closure_reason,Closure reason,yes,${event_status} = 'closed',,,,,Required when closing an event
end_group,event_phase_posture_end,,,,,,,,
begin_group,everbridge_accountability,Everbridge accountability,,,,,field-list,,
select_one yes_no,everbridge_used,Everbridge used,yes,,,,,minimal,
select_one eb_activation_purpose,eb_activation_purpose,Everbridge activation purpose,yes,${everbridge_used} = 'yes',,,,,
text,eb_notification_id,Everbridge notification ID,no,${everbridge_used} = 'yes',,,,,
text,eb_notification_title,Everbridge notification title,no,${everbridge_used} = 'yes',,,,,
integer,eb_targeted_count,Number targeted,no,${everbridge_used} = 'yes',. >= 0,Value cannot be negative.,,,
integer,eb_confirmed_safe,Number confirmed safe,no,${everbridge_used} = 'yes',. >= 0,Value cannot be negative.,,,
